goal,pledged,backers_count,campaign_length,decision_timing,spotlight,staff_pick,usd_pledged,Blurb length,Blurb caps,Name Length,Name Caps,created_at,deadline,launched_at,fx_rate,static_usd_rate,state_changed_at,name,country,blurb,category,Category,Category (parent only)
5000,6175,61,2588400,2588400,TRUE,FALSE,6175.0,132,9,60,9,1359697253,1364842109,1362253709,1,1,1364842109,Aric Harding and The Exchange:New AlbumThe Corridor of Grace,US,"So much music and so little time. God has been in motion in this past year. This new batch of music it dying to get to you, JUMP IN!","{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
2000,2445,51,2592000,2592000,TRUE,FALSE,3205.3508922,134,18,44,12,1529338560,1535805148,1533213148,1.29135567,1.31098196,1535805148,Giuseppe Verdi's DON CARLO - by Fulham Opera,GB,"DON CARLO, a 5-act grand opera by Giuseppe Verdi, will be brought to life in an ambitious production by Fulham Opera in November 2018.","{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
4000,8141,94,2588400,2588400,TRUE,FALSE,8141.0,133,2,46,6,1580685591,1584255611,1581667211,1,1,1584255611,Love & Lust. Photobook by Chris Paul Thompson.,US,"Coffee table book of photos showcasing love, lust, and intimate connection. Focused on showcasing people of color in a beautiful way.","{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
18000,27147,282,1728000,1728000,TRUE,FALSE,27147.0,39,7,23,3,1520577304,1522898966,1521170966,1,1,1522898966,Wayfarer Bread & Pastry,US,"Artisan Bakery & Cafe in San Diego,  CA","{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}","food/small batch""",food
3000,3069,48,2147358,2147379,TRUE,FALSE,3069.0,86,1,22,4,1319557634,1321711200,1319563842,1,1,1321711221,Fast Brush Script Font,US,"This new font feels like writing quickly with an inked brush, fast and full of energy!","{""id"":261,""name"":""Typography"",""slug"":""design/typography"",""position"":7,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/typography""}}}","design/typography""",design
300,414.29,6,4320000,4320000,TRUE,FALSE,313.2459408703,131,24,52,10,1542313548,1546731569,1542411569,0.75574365,0.75610307,1546731569,A Luxurious New Tea That Blossoms Right In Your Cup!,CA,Still Drinking The Same Old Tea In Bags? Blossom With SImply Pure Natural Blooming Flower Tea. The Most Beautiful Tea In The World!,"{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}","food/drinks""",food
2500,3216,43,2595600,2595600,TRUE,FALSE,3216.0,133,2,11,9,1508363200,1511569595,1508973995,1,1,1511569595,FOOD IS ART,US,"Yes, food is art.  It's also love, creation, health, celebration, togetherness... these are the foundational elements of our project.","{""id"":10,""name"":""Food"",""slug"":""food"",""position"":8,""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food""}}}","food""",food
10000,12650,101,5187600,5187600,TRUE,FALSE,12650.0,117,12,26,7,1445630234,1451151750,1445964150,1,1,1451151750,7439 - Nomadic Editions #4,US,"The fourth chapter of Renato D'Agostin's Nomadic Editions, exploring United States on the back of his 1983 motorcycle","{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
1000,1050,34,2592000,2592019,TRUE,FALSE,1050.0,132,4,20,3,1303238098,1308047400,1305455400,1,1,1308047419,Improv Dance Company,US,"The Improv Dance Company is hoping to offer workshops, expand & inspire with our own experimental, original, unique performance art.","{""id"":257,""name"":""Workshops"",""slug"":""dance/workshops"",""position"":4,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/workshops""}}}","dance/workshops""",dance
550,575.38,13,2588400,2588400,TRUE,FALSE,575.38,65,1,52,2,1517981933,1523256917,1520668517,1,1,1523256917,Help Charlatan create their third full length album!,US,We're busy chipping away at a new full-length and need your help!,"{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
15000,16600,105,2415261,2415293,TRUE,FALSE,16600.0,131,5,55,14,1351560433,1355454000,1353038739,1,1,1355454032,ESPAÑOLETAS: Harmonious Blacksmith featuring Glen Velez,US,"A landmark recording project of Spanish music for a quintet of instrumentalists, featuring Grammy-winning percussionist Glen Velez.","{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
7500,8373.450000000000,168,2592000,2592000,TRUE,TRUE,8373.450000000000,131,15,60,18,1347201467,1381544379,1378952379,1,1,1381544379,"BATTERY: Kathleen Supové Beating Up The Piano, LIVE Onstage!",US,BATTERY  A new work by Randall Woolf  and Heidi Latsky. Help Kathleen Supové use her kickboxing and piano chops to beat up a piano!,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
1000,1500,24,2592000,2592000,TRUE,FALSE,1500.0,82,7,28,6,1365398205,1369094733,1366502733,1,1,1369094733,Quiet! I'm Hunting! Debut EP,US,Partner with us in helping fund our debut EP to be released in the summer of 2013.,"{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
3000,3201,47,281852,281852,TRUE,FALSE,3201.0,99,28,54,23,1570042580,1571371140,1571089288,1,1,1571371140,I COULD NEVER LOVE ANYONE... Recovery through Movement,US,Addiction Recovery through Dance: I COULD NEVER LOVE ANYONE... Pathway to Wellness Through Movement,"{""id"":257,""name"":""Workshops"",""slug"":""dance/workshops"",""position"":4,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/workshops""}}}","dance/workshops""",dance
2000,2404,36,2592000,2592000,TRUE,FALSE,2404.0,94,1,14,2,1341970249,1345093422,1342501422,1,1,1345093422,Cello Densetsu,US,Video game music exclusively arranged and re-imagined for cello...what more could you ask for?,"{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
7646,7680,53,2204473,2204473,TRUE,FALSE,7680.0,123,4,18,4,1423071039,1427086740,1424882267,1,1,1427086740,A Modern Holy Land,US,"A short documentary & photo exhibition showing daily life in the often mis-represented lands of Israel, Palestine & Jordan.","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
12000,12180,61,2592000,2592000,TRUE,FALSE,12180.0,125,7,42,5,1429052909,1440171945,1437579945,1,1,1440171945,Evan Kelsick - Euphonium Commissions Album,US,"As a DMA student at Eastman, I will be premiering multiple new works for solo euphonium, by famous composers. Lets record it!","{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
7000,7055,204,2151184,2151198,TRUE,FALSE,5035.7606533,111,11,31,4,1441502737,1445137200,1442986016,0.72636675,0.71378606,1445137214,Nipponia Playing Cards Relaunch,AU,Custom illustrated playing cards inspired by medieval Japan and printed by NoirArts Playing Card Company (NPCC),"{""id"":273,""name"":""Playing Cards"",""slug"":""games/playing cards"",""position"":4,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/playing%20cards""}}}","games/playing cards""",games
1000,1027,14,864000,864001,TRUE,FALSE,1027.0,93,6,57,8,1497411852,1498298381,1497434381,1,1,1498298382,From the Delta to the Motor City: A Roots and Blues Album,US,"Roots and blues album recorded with love at the Sound Shop, co-produced with Motor City Josh.","{""id"":316,""name"":""Blues"",""slug"":""music/blues"",""position"":1,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/blues""}}}","music/blues""",music
4000,4387,47,2256755,2256755,TRUE,FALSE,4387.0,125,4,17,3,1459135052,1474411140,1472154385,1,1,1474411140,The Twelfth Eagle,US,"A unique film about a Golden Eagle and a Kazakh falconer, exploring people and wildlife, survival, and the nature of freedom.","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
2500,2806,66,1814400,1814401,TRUE,FALSE,2806.0,108,4,22,2,1515635939,1518538426,1516724026,1,1,1518538427,Botany of the Cascades,US,In Defense of Plants exists to cure plant blindness around the globe. We are doing this one video at a time.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
1200,2093,30,2263022,2263022,TRUE,FALSE,2641.92956118,80,5,21,4,1593627676,1596837540,1594574518,1.29135567,1.26226926,1596837540,L'Eglise - Short Film,GB,Jake and Lily get separated in rural South of France. Will they find each other?,"{""id"":32,""name"":""Shorts"",""slug"":""film & video/shorts"",""position"":16,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/shorts""}}}","film & video/shorts""",film & video
2100,2540,33,5180400,5180401,TRUE,FALSE,2540.0,104,1,40,6,1390577347,1396633348,1391452948,1,1,1396633349,"Seldom's Debut Album ""One Left Standing""",US,"We've been working hard on creating our debut album, and we need your help to make this album a reality!","{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
6000,6070,44,2802008,2802023,TRUE,TRUE,5863.6578768,97,5,53,20,1379630433,1384574400,1381772392,0.75574365,0.96600624,1384574415,Zombified: An Undead Rock Musical - ZOMBIE-ROCK ALBUM,CA,Zombified: An Undead Rock Musical brings anthemic rock n roll to a post zombie apocalyptic world.,"{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
7000,7559,68,2592000,2592001,TRUE,TRUE,7559.0,98,2,45,8,1527252485,1532524407,1529932407,1,1,1532524408,Memory Video: A Short Film About Video Stores,US,Remember the joy of going to the video store? This is a movie about keeping that experience alive.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
700,4869,36,1869388,1869389,TRUE,FALSE,4869.0,105,3,44,6,1434995880,1438055940,1436186552,1,1,1438055941,Ava's Journey : Art Nudes Beauty and Fitness,US,I am creating an art nude photobook and digital collections featuring model Ava and the Ozark wilderness.,"{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
4000,4314,102,2592000,2592000,TRUE,FALSE,4314.0,101,17,34,8,1440596632,1443974254,1441382254,1,1,1443974254,A Day In The Light Of An Israelite,US,"It's Time For Awareness and Self-Love! 

Are You Ready For A Glimpse Into The Life of The Israelites?","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
20000,25746,346,2592000,2592000,TRUE,TRUE,25746.0,84,8,15,3,1585253088,1589130272,1586538272,1,1,1589130272,The Kinloch Doc,US,"A documentary about the rise and demise of Missouri's First Black City: Kinloch, MO.","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
20000,22005.010000000000,375,1814400,1814400,TRUE,TRUE,22005.010000000000,116,5,39,19,1454024335,1457019740,1455205340,1,1,1457019740,Ovarian Psycos: WORLD PREMIERE at SXSW!,US,"Help us raise the funds to finish the film and bring our central characters to the World Premiere in Austin, Texas!!","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
7000,7047,82,2592000,2592000,TRUE,TRUE,7047.0,103,3,13,3,1532020545,1536815695,1534223695,1,1,1536815695,The Drip Drop,US,"The Drip Drop is a tasty, edible ring that slides up onto an ice cream cone to catch the melting drips!","{""id"":10,""name"":""Food"",""slug"":""food"",""position"":8,""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food""}}}","food""",food
4000,5351,63,1123200,1123201,TRUE,FALSE,5351.0,91,13,34,12,1527961855,1530543319,1529420119,1,1,1530543320,2018 DE:AD:10:C5 electronic badges,US,"We made two #badgelife con toys for DEFCON 26, Derbycon, GrrCon, etc.\r
\r
Because why not?","{""id"":334,""name"":""DIY Electronics"",""slug"":""technology/diy electronics"",""position"":4,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/diy%20electronics""}}}","technology/diy electronics""",technology
699,1871,96,2591992,2591992,TRUE,FALSE,2364.76238203,71,1,34,6,1558963836,1562164380,1559572388,1.29135567,1.26390293,1562164380,TREBLS - the seaglass memory game.,GB,A memory game based on the matching pairs concept for sea glass lovers.,"{""id"":273,""name"":""Playing Cards"",""slug"":""games/playing cards"",""position"":4,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/playing%20cards""}}}","games/playing cards""",games
27500,61638,1130,3823423,3823425,TRUE,TRUE,71663.843536680000,105,0,59,8,1532672601,1539262800,1535439377,1.1753395,1.16265686,1539262802,The Made in Africa Chocolate - Making our Farmers Co-Owners,DE,fairafric wants to give company shares to cocoa farmers and massively improve its environmental footprint,"{""id"":10,""name"":""Food"",""slug"":""food"",""position"":8,""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food""}}}","food""",food
8000,9650,33,2588400,2588400,TRUE,TRUE,9650.0,129,6,46,8,1518099513,1522249366,1519660966,1,1,1522249366,The Office of Dan Kiley: Joe Karr Oral History,US,Funding is needed to finish this oral history about the work of landscape architect Joe Karr and that of the Office of Dan Kiley.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
10000,10528.75,277,2592000,2592000,TRUE,TRUE,10528.75,127,10,47,6,1461005284,1468084537,1465492537,1,1,1468084537,Brooks Frederickson's First Album - Small Works,US,"Small Works - the first album of Brooks Frederickson's chamber music. Featuring Ashley Bathgate, Long Leash, Exceptet and more!","{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
5000,5240,59,2914021,2914022,TRUE,FALSE,5240.0,129,2,30,5,1483108887,1488308340,1485394319,1,1,1488308341,Phantom Power - The Photo Book,US,As a photographer bookmaking has been part of my practice for many years and I now have the opportunity to get my work published.,"{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
5000,5016,35,2592000,2592000,TRUE,FALSE,5016.0,134,3,51,6,1489441574,1497008796,1494416796,1,1,1497008796,Bonfatto's Artisan Sauces & Products Growing Pains.,US,"After 8 years of hitting the streets, the hard work is starting to pay off.  We are in need of a better facility to support the demand","{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}","food/small batch""",food
12000,23284,259,2592000,2592000,TRUE,FALSE,23284.0,134,1,20,2,1541884875,1547151894,1544559894,1,1,1547151894,Phantom of the North,US,Experience great gray owls through the lens of an award-winning wildlife photographer and the writing of a leading research biologist.,"{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
8000,8135,87,2592000,2592000,TRUE,FALSE,8135.0,133,7,49,6,1336680507,1342654585,1340062585,1,1,1342654585,"""El Mestre"", the music of Miguel Llobet: a new CD",US,"As one of the worlds leading authorities on Miguel Llobet, classical guitarist Robert Phillips brings authority to a CD of his music.","{""id"":36,""name"":""Classical Music"",""slug"":""music/classical music"",""position"":3,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/classical%20music""}}}","music/classical music""",music
2000,2433,97,2588400,2588402,TRUE,TRUE,3173.95710912,56,7,35,26,1550844393,1553440134,1550851734,1.29135567,1.30454464,1553440136,'CRACKS' - NEW ALBUM BY HOWIE REEVE,GB,"Vinyl release on Red Wig, Moncul and Bar Marfil Records.","{""id"":321,""name"":""Punk"",""slug"":""music/punk"",""position"":15,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/punk""}}}","music/punk""",music
5000,16244.42,426,1209600,1209600,TRUE,FALSE,16244.42,106,14,36,19,1395560534,1400515224,1399305624,1,1,1400515224,TENEBRE Playing Cards by 4PM DESIGNS,US,Extremely limited run of a new signature series playing card deck by 4PM DESIGNS...Tenebre (Rosso Edition),"{""id"":273,""name"":""Playing Cards"",""slug"":""games/playing cards"",""position"":4,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/playing%20cards""}}}","games/playing cards""",games
5500,5552,91,2431874,2431875,TRUE,FALSE,7322.9925056,122,3,58,6,1507904358,1512982800,1510550926,1.29135567,1.3189828,1512982801,Scrumptious Coconut Macaroons - Exciting Product Expansion,GB,An on-the-go snack packed with nutrients and deliciousness. All with one view in mind: to Nourish you from the inside out.,"{""id"":10,""name"":""Food"",""slug"":""food"",""position"":8,""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food""}}}","food""",food
1500,1500,12,5184000,5184000,TRUE,FALSE,1500.0,126,30,55,26,1521615563,1528154112,1522970112,1,1,1528154112,MAJORITY VERSUS MINORITY: How the Supreme Court Reasons,US,Produce an 8 week webseries of Norman Finkelstein's new library class MAJORITY VERSUS MINORITY: How the Supreme Court Reasons.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
6000,7430,36,2592000,2592001,TRUE,FALSE,7430.0,103,1,43,6,1433816961,1437930061,1435338061,1,1,1437930062,Third Wish Jewelry- Bringing Silver to Life,US,"Adding our rich finishes to sterling silver brings it to life, creating a vibrant new style of jewelry!","{""id"":267,""name"":""Jewelry"",""slug"":""fashion/jewelry"",""position"":6,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/jewelry""}}}","fashion/jewelry""",fashion
10000,17930,105,2463925,2463925,TRUE,FALSE,17930.0,119,5,14,3,1463505305,1469639700,1467175775,1,1,1469639700,The Korean Che,US,I am making a documentary on this Korean family in Cuba who helped bring Korea's independence and the Cuban revolution.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
2000,2135,34,2595600,2595600,TRUE,FALSE,2135.0,109,1,54,7,1539308264,1542383170,1539787570,1,1,1542383170,Meet Ava of Ava’s Pet Palace – 11 year old kidpreneur!,US,A small batch pet treat brand that focuses on pet health by serving up natural and organic pet treat options.,"{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}","food/small batch""",food
700000,1802947,177,2592000,2592000,TRUE,TRUE,16468.4784874,104,22,53,17,1520832348,1528698469,1526106469,0.00951863,0.0091342,1528698469,DANCHI DREAMS: A Photobook of Japanese Public Housing,JP,DANCHI DREAMS: A Photobook Exploring the Dream and Decay of Modern Japanese Public Housing Architecture.,"{""id"":280,""name"":""Photobooks"",""slug"":""photography/photobooks"",""position"":5,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/photobooks""}}}","photography/photobooks""",photography
200,327,13,2592000,2592000,TRUE,FALSE,327.0,77,2,15,3,1569182141,1572469533,1569877533,1,1,1572469533,Arini Olive Oil,US,A documentary about the production of olive oil in a small village in Greece.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
20000,27662.5,502,3027600,3027600,TRUE,FALSE,27662.5,132,5,29,4,1350401540,1354550535,1351522935,1,1,1354550535,New Trampled Under Foot album,US,"Trampled Under Foot wants to record and release our new album independently. No label, just our fans and us. Help us make it happen!","{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
28000,30206.800000000000,640,2592000,2592000,TRUE,TRUE,30206.800000000000,55,6,28,6,1533605260,1536936949,1534344949,1,1,1536936949,We Are The Union - Self Care,US,"We Are The Union's fourth full-length album, Self Care.","{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
80000,117418.800000000000,43,2592000,2592000,TRUE,FALSE,5269.422275,127,9,60,14,1595895530,1599026982,1596434982,0.0473825,0.04487716,1599026982,CULT OF VHS - A Documentary about the Pop Culture Phenomenon,MX,A Love Letter / Feature Length Documentary about  the impact that VHS had and still has in the hearts of fans around the world.,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
2000,2386,22,2172290,2172290,TRUE,FALSE,2386.0,135,8,59,6,1503104433,1505610000,1503437710,1,1,1505610000,Video documentary on Iran's (IRGC) terrorist training camps,US,"To turn our recently published book into a 3 minute video documentary ""Terrorist Training Camps in Iran"" 2B distributed on social media","{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
6000,6476,86,2592000,2592001,TRUE,FALSE,7425.94980424,135,11,56,23,1461586814,1464892993,1462300993,1.1753395,1.14668774,1464892994,DIE RESONANZ DER PFERDE - Traumatherapie für SoldatInnen,DE,Ein 40-minütiger Dokumentarfilm portraitiert die Therapeutin Claudia Swierczek. Sie hilft mit ihren Pferden traumatisierten SoldatInnen,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
3500,4575,45,1246692,1246726,TRUE,FALSE,4575.0,135,2,58,12,1354069676,1355810400,1354563708,1,1,1355810434,"It's Been Too Damn Long Since We Put Out New Music, Right?",US,"We've got some new tunes we've been sitting on for a while.  So we found a great engineer, rented a room & bought some recording shit..","{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
1500,1705,38,2592000,2592000,TRUE,FALSE,1894.21293765,83,5,18,1,1466091740,1469452056,1466860056,1.1753395,1.11097533,1469452056,Inshuti - the film,DE,A documentary from Franzi Bausch and Niels Bauder about a german-rwandan friendship,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}","film & video/documentary""",film & video
